Wavelength,OrangeII5,SunsetYellow5,Tartrazine5,Erioglycine5
339,0.00978425,0.009898603,0.010366034,0.003201667
340,0.01005899,0.00966726,0.011618453,0.002658901
341,0.010225956,0.009645803,0.01192889,0.002788338
342,0.010305041,0.008668357,0.011577278,0.003142264
343,0.009685296,0.009075137,0.012733379,0.002793755
344,0.008946025,0.008093226,0.012497262,0.002242343
345,0.008567801,0.00841899,0.013103773,0.002222082
346,0.008011026,0.008370262,0.013976375,0.001453881
347,0.009309387,0.008731955,0.013789191,0.002127604
348,0.008993408,0.008080097,0.014091265,0.002311247
349,0.008841061,0.008593946,0.015373472,0.002435792
350,0.007713072,0.009323929,0.016268813,0.001647135
351,0.008766067,0.007243044,0.016232998,0.002267781
352,0.00946087,0.010010388,0.017388888,0.002486874
353,0.009255947,0.009663,0.017444062,0.002032939
354,0.009460103,0.009801112,0.018420179,0.00208868
355,0.009612801,0.009687343,0.019125484,0.002875874
356,0.009897061,0.010469822,0.019801245,0.002331643
357,0.01012055,0.010419592,0.020135291,0.002377925
358,0.009043094,0.010957342,0.020947807,0.001534164
359,0.011090744,0.010954237,0.021769548,0.003326754
360,0.010779669,0.012140741,0.022844583,0.002800291
361,0.01110987,0.012082069,0.023209563,0.002670956
362,0.011858152,0.012613253,0.024399939,0.003144063
363,0.011974587,0.012902599,0.025358275,0.003175184
364,0.012528087,0.013403347,0.026095039,0.003539287
365,0.013069262,0.013447758,0.026462762,0.003217203
366,0.013163046,0.014186861,0.027259188,0.003633211
367,0.013597584,0.014449648,0.028313771,0.003544217
368,0.013814043,0.015088265,0.029110004,0.003682555
369,0.014529274,0.015440664,0.030173258,0.003801229
370,0.015460876,0.015640362,0.031039427,0.004362989
371,0.015851805,0.016272672,0.031683354,0.004295065
372,0.016073844,0.016299109,0.032470482,0.004464908
373,0.016713422,0.017255611,0.033606148,0.004419605
374,0.017030444,0.017498412,0.034398033,0.004542533
375,0.017733138,0.018278965,0.035528841,0.005108682
376,0.018334811,0.01744343,0.035214855,0.005366989
377,0.018735274,0.019300137,0.037530566,0.005656172
378,0.019452821,0.019319995,0.037965807,0.006167685
379,0.019781025,0.019882648,0.039189591,0.00647928
380,0.020165868,0.020327325,0.040138497,0.006434291
381,0.020881336,0.02088208,0.04101489,0.006909809
382,0.021388286,0.021205437,0.041824429,0.007157325
383,0.021626847,0.021774702,0.042799736,0.007187551
384,0.022365117,0.022285928,0.043977896,0.007573097
385,0.022858323,0.022678516,0.044653269,0.008069187
386,0.023816287,0.02291995,0.045546765,0.008704075
387,0.024048641,0.023479805,0.04648698,0.008443644
388,0.0240757,0.023395602,0.046962927,0.008041008
389,0.024585874,0.023825441,0.047599411,0.008629134
390,0.025549693,0.024157564,0.048378455,0.008823865
391,0.025756113,0.024466286,0.048987786,0.008940201
392,0.026399404,0.024974004,0.050414241,0.009104842
393,0.026839832,0.02520715,0.051025713,0.009333362
394,0.026993483,0.025681278,0.051860562,0.009314776
395,0.027565121,0.025816782,0.052470306,0.009548168
396,0.027869323,0.026091265,0.053063157,0.009886021
397,0.027829071,0.026154334,0.053909174,0.009609247
398,0.028919307,0.026421194,0.054516843,0.010529961
399,0.029093327,0.026870471,0.055300056,0.010948048
400,0.029322739,0.026793482,0.05584904,0.011390258
401,0.029674882,0.026972477,0.056388731,0.011778199
402,0.029974941,0.027297123,0.057195256,0.012106644
403,0.030244184,0.027250861,0.057574364,0.012505319
404,0.030409749,0.027611065,0.058263718,0.012983829
405,0.030721919,0.027652292,0.058912578,0.013263163
406,0.03109714,0.027927828,0.059214252,0.013494202
407,0.031370666,0.02824626,0.059738273,0.013749
408,0.031370248,0.028121591,0.060259479,0.013504025
409,0.031620029,0.028377757,0.060619934,0.013507628
410,0.031930538,0.028477547,0.061196128,0.013515343
411,0.03208589,0.028636009,0.061510487,0.013101338
412,0.032191278,0.02871714,0.061818773,0.012914889
413,0.032620424,0.02901247,0.062482833,0.012221069
414,0.032674951,0.029055047,0.062804314,0.011885224
415,0.032925652,0.029250311,0.063262383,0.011195753
416,0.033290667,0.029362318,0.063606615,0.010806023
417,0.033184534,0.029388758,0.063775639,0.010042097
418,0.033426394,0.029555143,0.063998441,0.009352292
419,0.033587871,0.029823852,0.064440424,0.008596326
420,0.033963898,0.02996922,0.06482179,0.008002315
421,0.034243015,0.030007816,0.064885499,0.007612464
422,0.034508535,0.030139322,0.065020958,0.006984559
423,0.034429399,0.030553234,0.065274055,0.006018688
424,0.034447984,0.030500238,0.06529517,0.005316169
425,0.03460533,0.030668492,0.065504069,0.004787395
426,0.034628713,0.030904242,0.065490129,0.004215733
427,0.034652574,0.030966819,0.06518575,0.00355927
428,0.035055285,0.031102619,0.065046238,0.00320907
429,0.035315918,0.031392787,0.064793425,0.003099861
430,0.035438368,0.031783285,0.064832064,0.002540045
431,0.035882419,0.032085052,0.064830507,0.00235823
432,0.036076588,0.032503779,0.06473391,0.001964703
433,0.036659104,0.03294156,0.064491096,0.001948666
434,0.036986416,0.033523435,0.064384403,0.001625759
435,0.037314648,0.034091736,0.064135368,0.001287106
436,0.037782373,0.034517701,0.063826154,0.001142809
437,0.038291605,0.035191285,0.063517781,0.000944074
438,0.038837881,0.035904052,0.063269662,0.000819075
439,0.039340539,0.03659398,0.062800514,0.000642411
440,0.040102569,0.037396452,0.062663051,0.000667652
441,0.04056294,0.038388892,0.06205511,0.000639197
442,0.041552787,0.038904953,0.061500436,0.000688203
443,0.042179776,0.039801801,0.061044606,0.000455716
444,0.042663468,0.040725655,0.060405138,0.00021916
445,0.04363087,0.041633538,0.060029911,0.000254914
446,0.044605361,0.042637287,0.059220361,0.000302866
447,0.045199929,0.043380464,0.058465792,0.000185429
448,0.046292973,0.044275927,0.057590822,0.00026817
