Site,Storm ID,Volume (liters),EG+PG (kg),Sample Start Date,Sample End Date,recordNo
US,S06,489881.505,17.63573418,1/4/1998 6:25,1/4/1998 10:45,
US,S07,659782.605,23.75217378,1/8/1998 8:35,1/8/1998 19:35,
US,S08,397851.7425,14.32266273,3/3/1998 6:05,3/3/1998 10:20,
US,S09,6059805.9,218.1530124,7/20/1998 20:05,7/21/1998 6:25,
US,S10,44032.70175,1.585177263,12/20/1998 17:55,12/20/1998 23:00,
US,S11,5861.58795,0.211017166,12/29/1998 7:15,12/29/1998 10:51,
US,S12,17867.93235,0.643245565,1/11/1999 7:00,1/11/1999 21:30,
US,S13,41342.601,1.488333636,1/17/1999 13:10,1/17/1999 21:35,
US,S14,90047.583,3.241712988,3/13/1999 16:25,3/13/1999 18:45,
US,S15,927008.7185,33.37231386,3/15/1999 15:10,3/16/1999 9:50,
US,S16,491750.4171,17.70301502,9/27/1999 5:00,9/27/1999 11:05,
US,S17,27750.513,0.999018468,1/3/2000 15:35,1/4/2000 9:50,
US,S18,10760.403,0.387374508,1/19/2000 15:55,1/19/2000 23:20,
US,S19,4813.8645,0.173299122,2/13/2000 6:10,2/13/2000 20:50,
US,S20,17896249.2,644.2649712,2/22/2000 14:05,2/24/2000 12:00,
US,S21,8155252.8,309.8996064,2/24/2000 15:30,2/28/2000 4:40,
US,S22,3313071.45,119.2705722,4/7/2000 12:50,4/8/2000 2:50,
US,S23,9118025.7,328.2489252,9/22/2000 13:00,9/22/2000 22:15,
US,S24,133655.532,9.623198304,12/11/2000 7:50,12/11/2000 22:35,
US,S25,70792.125,9.76931325,12/16/2000 6:25,12/16/2000 10:50,
US,S26,565204.326,35.60787254,1/14/2001 6:55,1/14/2001 16:35,
US,S27,306105.1485,11.01978535,1/29/2001 6:50,1/29/2001 13:45,
US,S28,1059050.19,104.8459688,2/24/2001 6:35,2/24/2001 13:30,
US,S29,3326663.538,119.7598874,3/20/2001 10:10,3/26/2001 9:10,
US,S31,594653.85,21.4075386,1/14/2002 6:05,1/14/2002 15:15,
US,S32,622970.7,22.4269452,1/16/2002 14:15,1/17/2002 1:15,
US,S33,2661783.9,95.8242204,1/31/2002 5:40,2/1/2002 10:50,
US,S34,594653.85,46.3830003,2/21/2002 5:40,2/21/2002 12:50,
US,S35,1557426.75,73.19905725,3/1/2002 21:55,3/2/2002 22:15,
US,S36,2385694.613,85.88500605,10/1/2002 23:30,10/2/2002 12:00,
