#  RDB file created by NWIS qwflatout program on nwiswi at 06/02/2014 15:45:21
#
# AGNCY  Agency code
# BDATE  Begin date
# BTIME  Begin time
# EDATE  End date
# ETIME  End time
# MEDIM  Medium code
# PCODE  Parameter code
# REMRK  Remark code
# SAMPL  Record number
# SCMFL  Field sample comment
# STAID  Station number
# STYPE  Sample type code
# VALUE  Parameter value
# RPLEV  Reporting level
#
AGNCY	BDATE	BTIME	EDATE	ETIME	MEDIM	PCODE	REMRK	SAMPL	SCMFL	STAID	STYPE	VALUE	RPLEV
10S	10S	10S	10D	10S	10S	10S	10S	10S	50S	20S	10S	10N	10S
USGS	20010224	0619	20010224	1327	WS	82398		00101058	CG-S28	040871476	9	50	
USGS	20010224	0619	20010224	1327	WS	90095		00101058	CG-S28	040871476	9	1540	
USGS	20010224	0619	20010224	1327	WS	91075	<	00101058	CG-S28	040871476	9	18.0	
USGS	20010224	0619	20010224	1327	WS	91080		00101058	CG-S28	040871476	9	2300	
USGS	20010224	0619	20010224	1327	WS	99220		00101058	CG-S28	040871476	9	28	
USGS	20010224	0619	20010224	1327	WS	99904		00101058	CG-S28	040871476	9	15	
USGS	20010320	1123	20010326	1316	WS	00028		00101161	CG-S29	040871476	9	85543	
USGS	20010320	1123	20010326	1316	WS	00310		00101161	CG-S29	040871476	9	4240	
USGS	20010320	1123	20010326	1316	WS	00335		00101161	CG-S29	040871476	9	8600	
USGS	20010320	1123	20010326	1316	WS	00403		00101161	CG-S29	040871476	9	7.9	
USGS	20010320	1123	20010326	1316	WS	00417		00101161	CG-S29	040871476	9	1360	
USGS	20010320	1123	20010326	1316	WS	00530		00101161	CG-S29	040871476	9	35	
USGS	20010320	1123	20010326	1316	WS	00605		00101161	CG-S29	040871476	9	14	
USGS	20010320	1123	20010326	1316	WS	00608		00101161	CG-S29	040871476	9	17.3	
USGS	20010320	1123	20010326	1316	WS	00625		00101161	CG-S29	040871476	9	31	
USGS	20010320	1123	20010326	1316	WS	00939		00101161	CG-S29	040871476	9	670	
USGS	20010320	1123	20010326	1316	WS	71846		00101161	CG-S29	040871476	9	22.3	
USGS	20010320	1123	20010326	1316	WS	82398		00101161	CG-S29	040871476	9	50	
USGS	20010320	1123	20010326	1316	WS	90095		00101161	CG-S29	040871476	9	3710	
USGS	20010320	1123	20010326	1316	WS	91075	<	00101161	CG-S29	040871476	9	18.0	
USGS	20010320	1123	20010326	1316	WS	91080		00101161	CG-S29	040871476	9	2100	
USGS	20010320	1123	20010326	1316	WS	99220		00101161	CG-S29	040871476	9	47	
USGS	20010320	1123	20010326	1316	WS	99904		00101161	CG-S29	040871476	9	10	
USGS	20010119	0000			WS	00028		00101782		040871476	9	85543	
USGS	20010119	0000			WS	00335		00101782		040871476	9	3600	
USGS	20011024	0036	20011024	0147	WS	00028		00200339	CG-S30	040871476	9	85543	
USGS	20011024	0036	20011024	0147	WS	00310		00200339	CG-S30	040871476	9	6.6	
USGS	20011024	0036	20011024	0147	WS	00335		00200339	CG-S30	040871476	9	20	
USGS	20011024	0036	20011024	0147	WS	00403		00200339	CG-S30	040871476	9	7.8	
USGS	20011024	0036	20011024	0147	WS	00417		00200339	CG-S30	040871476	9	93	
USGS	20011024	0036	20011024	0147	WS	00605		00200339	CG-S30	040871476	9	.55	
USGS	20011024	0036	20011024	0147	WS	00608		00200339	CG-S30	040871476	9	.299	
USGS	20011024	0036	20011024	0147	WS	00625		00200339	CG-S30	040871476	9	.85	
USGS	20011024	0036	20011024	0147	WS	71846		00200339	CG-S30	040871476	9	.385	
USGS	20011024	0036	20011024	0147	WS	82398		00200339	CG-S30	040871476	9	50	
USGS	20011024	0036	20011024	0147	WS	90095		00200339	CG-S30	040871476	9	251	
USGS	20011024	0036	20011024	0147	WS	91075	<	00200339	CG-S30	040871476	9	18.0	
USGS	20011024	0036	20011024	0147	WS	91080	<	00200339	CG-S30	040871476	9	18.0	
USGS	20011024	0036	20011024	0147	WS	99220		00200339	CG-S30	040871476	9	1.4	
USGS	20011024	0036	20011024	0147	WS	99904		00200339	CG-S30	040871476	9	11	
USGS	20020114	0554	20020114	1352	WS	00028		00200913	CG-S31	040871476	9	85543	
USGS	20020114	0554	20020114	1352	WS	00310		00200913	CG-S31	040871476	9	930	
USGS	20020114	0554	20020114	1352	WS	00335		00200913	CG-S31	040871476	9	1700	
USGS	20020114	0554	20020114	1352	WS	00403		00200913	CG-S31	040871476	9	7.5	
USGS	20020114	0554	20020114	1352	WS	00417		00200913	CG-S31	040871476	9	102	
USGS	20020114	0554	20020114	1352	WS	00605		00200913	CG-S31	040871476	9	4.1	
USGS	20020114	0554	20020114	1352	WS	00608		00200913	CG-S31	040871476	9	.765	
USGS	20020114	0554	20020114	1352	WS	00625		00200913	CG-S31	040871476	9	4.8	
USGS	20020114	0554	20020114	1352	WS	00939		00200913	CG-S31	040871476	9	21.0	
USGS	20020114	0554	20020114	1352	WS	71846		00200913	CG-S31	040871476	9	.985	
USGS	20020114	0554	20020114	1352	WS	82398		00200913	CG-S31	040871476	9	50	
USGS	20020114	0554	20020114	1352	WS	90095		00200913	CG-S31	040871476	9	610	
USGS	20020114	0554	20020114	1352	WS	91075		00200913	CG-S31	040871476	9	23.0	
USGS	20020114	0554	20020114	1352	WS	91080		00200913	CG-S31	040871476	9	770	
USGS	20020114	0554	20020114	1352	WS	99220		00200913	CG-S31	040871476	9	91	
USGS	20020114	0554	20020114	1352	WS	99904		00200913	CG-S31	040871476	9	8.1	
USGS	20020116	1405	20020117	0351	WS	00028		00200968	CG-S32	040871476	9	85543	
USGS	20020116	1405	20020117	0351	WS	00310		00200968	CG-S32	040871476	9	1180	
USGS	20020116	1405	20020117	0351	WS	00335		00200968	CG-S32	040871476	9	2700	
USGS	20020116	1405	20020117	0351	WS	00403		00200968	CG-S32	040871476	9	7.7	
USGS	20020116	1405	20020117	0351	WS	00417		00200968	CG-S32	040871476	9	180	
USGS	20020116	1405	20020117	0351	WS	00605		00200968	CG-S32	040871476	9	1.8	
USGS	20020116	1405	20020117	0351	WS	00608		00200968	CG-S32	040871476	9	2.36	
USGS	20020116	1405	20020117	0351	WS	00625		00200968	CG-S32	040871476	9	4.2	
USGS	20020116	1405	20020117	0351	WS	00939		00200968	CG-S32	040871476	9	55.0	
USGS	20020116	1405	20020117	0351	WS	71846		00200968	CG-S32	040871476	9	3.04	
USGS	20020116	1405	20020117	0351	WS	82398		00200968	CG-S32	040871476	9	50	
USGS	20020116	1405	20020117	0351	WS	90095		00200968	CG-S32	040871476	9	55400	
USGS	20020116	1405	20020117	0351	WS	91075	<	00200968	CG-S32	040871476	9	18.0	
USGS	20020116	1405	20020117	0351	WS	91080		00200968	CG-S32	040871476	9	960	
USGS	20020116	1405	20020117	0351	WS	99220		00200968	CG-S32	040871476	9	24000	
USGS	20020116	1405	20020117	0351	WS	99904		00200968	CG-S32	040871476	9	1.1	
USGS	20020131	0535	20020201	1230	WS	00028		00200969	CG-S33	040871476	9	85543	
USGS	20020131	0535	20020201	1230	WS	00310		00200969	CG-S33	040871476	9	4080	
USGS	20020131	0535	20020201	1230	WS	00335		00200969	CG-S33	040871476	9	8800	
USGS	20020131	0535	20020201	1230	WS	00403		00200969	CG-S33	040871476	9	7.4	
USGS	20020131	0535	20020201	1230	WS	00417		00200969	CG-S33	040871476	9	293	
USGS	20020131	0535	20020201	1230	WS	00605		00200969	CG-S33	040871476	9	3.4	
USGS	20020131	0535	20020201	1230	WS	00608		00200969	CG-S33	040871476	9	.701	
USGS	20020131	0535	20020201	1230	WS	00625		00200969	CG-S33	040871476	9	4.1	
USGS	20020131	0535	20020201	1230	WS	00939		00200969	CG-S33	040871476	9	204	
USGS	20020131	0535	20020201	1230	WS	71846		00200969	CG-S33	040871476	9	.903	
USGS	20020131	0535	20020201	1230	WS	82398		00200969	CG-S33	040871476	9	50	
USGS	20020131	0535	20020201	1230	WS	90095		00200969	CG-S33	040871476	9	1630	
USGS	20020131	0535	20020201	1230	WS	91075	<	00200969	CG-S33	040871476	9	18.0	
USGS	20020131	0535	20020201	1230	WS	91080		00200969	CG-S33	040871476	9	3700	
USGS	20020131	0535	20020201	1230	WS	99220		00200969	CG-S33	040871476	9	240	
USGS	20020131	0535	20020201	1230	WS	99904		00200969	CG-S33	040871476	9	20	
USGS	20020221	0526	20020221	1259	WS	00028		00201102	CG-S34	040871476	9	85543	
USGS	20020221	0526	20020221	1259	WS	00310		00201102	CG-S34	040871476	9	6150	
USGS	20020221	0526	20020221	1259	WS	00335		00201102	CG-S34	040871476	9	11000	
USGS	20020221	0526	20020221	1259	WS	00403		00201102	CG-S34	040871476	9	7.3	
USGS	20020221	0526	20020221	1259	WS	00417		00201102	CG-S34	040871476	9	305	
USGS	20020221	0526	20020221	1259	WS	00605		00201102	CG-S34	040871476	9	3.5	
USGS	20020221	0526	20020221	1259	WS	00608		00201102	CG-S34	040871476	9	.585	
USGS	20020221	0526	20020221	1259	WS	00625		00201102	CG-S34	040871476	9	4.1	
USGS	20020221	0526	20020221	1259	WS	00939		00201102	CG-S34	040871476	9	119	
USGS	20020221	0526	20020221	1259	WS	71846		00201102	CG-S34	040871476	9	.753	
USGS	20020221	0526	20020221	1259	WS	82398		00201102	CG-S34	040871476	9	50	
USGS	20020221	0526	20020221	1259	WS	90095		00201102	CG-S34	040871476	9	1970	
USGS	20020221	0526	20020221	1259	WS	91075	<	00201102	CG-S34	040871476	9	18.0	
USGS	20020221	0526	20020221	1259	WS	91080		00201102	CG-S34	040871476	9	5600	
USGS	20020221	0526	20020221	1259	WS	99220		00201102	CG-S34	040871476	9	390	
USGS	20020221	0526	20020221	1259	WS	99904		00201102	CG-S34	040871476	9	1.0	
USGS	20020301	2147	20020303	0510	WS	00028		00201106	CG-S35	040871476	9	85543	
USGS	20020301	2147	20020303	0510	WS	00310		00201106	CG-S35	040871476	9	5390	
