STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
726400,14839, 19910211,   22.7,24,    0.6,24, 1021.3,24, 9999.9, 0,  14.4,24,  11.2,24,  13.0, 999.9,   28.9*,  16.0*, 0.00G,999.9, 000000,
726400,14839, 19910212,   21.1,24,    4.2,24, 1020.9,24, 9999.9, 0,  13.8,24,   7.2,24,  14.0, 999.9,   35.1*,  12.9*, 0.00G,999.9, 000000,
726400,14839, 19910213,   31.8,24,   22.7,24, 1002.9,24, 9999.9, 0,  10.5,24,   9.3,24,  15.0, 999.9,   33.1*,  30.0*, 0.00G,999.9, 000000,
726400,14839, 19910214,   25.3,24,   19.7,24,  994.8,24, 9999.9, 0,   3.6,24,  14.4,24,  21.0,  31.1,   32.0*,  19.9*, 0.14G,  0.8, 001000,
726400,14839, 19910215,   10.4,24,   -1.2,24, 1009.7,24, 9999.9, 0,   8.5,24,  19.3,24,  22.0, 999.9,   19.9*,   3.9*, 0.03G,  1.2, 000000,
726400,14839, 19910216,   11.7,24,   -0.2,24, 1015.8,24, 9999.9, 0,  12.7,24,  14.2,24,  22.9, 999.9,   28.0*,   1.9*, 0.00G,  1.2, 000000,
726400,14839, 19910217,   30.6,24,   21.7,24, 1010.7,24, 9999.9, 0,  10.9,24,   8.7,24,  15.0, 999.9,   36.0*,  26.1*, 0.00G,  1.2, 000000,
726400,14839, 19910218,   34.8,24,   31.7,24, 1013.0,24, 9999.9, 0,   4.6,24,  10.6,24,  15.9,  22.0,   37.0*,  34.0*, 0.06G,  0.4, 110000,
726400,14839, 19910219,   36.0,24,   33.0,24, 1009.7,24, 9999.9, 0,   3.5,24,  10.1,24,  15.9,  20.0,   37.0*,  33.1*, 0.12G,  0.4, 110000,
726400,14839, 19910220,   33.5,24,   23.3,24, 1016.2,24, 9999.9, 0,   9.6,24,  12.9,24,  20.0, 999.9,   45.0*,  27.0*, 0.00G,999.9, 000000,
726400,14839, 19910221,   42.2,24,   33.6,24, 1014.1,24, 9999.9, 0,   8.0,24,   8.6,24,  14.0, 999.9,   54.0*,  34.0*, 0.00G,999.9, 000000,
